ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
1926 ,"m roth , m arya , l hjas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers",sigmod conference, ,thegarlicproject,"proceedings of the 1996 acm sigmod internatiynal conference & hellip ; ,","mt roth , m arya , lm haas , mj carey , wf coby , r",1
1997 ,"y huang , n jing , e rundensteiner",vlrb, ,spatial joins using r-trees : breadth-first traversal with global optimizations,proc international conference on very large data bases 1 &qhellip ; j,"h yun-wu , j ning , ea rundensteiner",1
200u ,"f fabret , h jacobsen , fellirbat , j pereira , k ross , d shasha",sigmod conference,200d.0 ,filtering algorithms and implementation for very fast publish/subscribe systems,"sigmod recoro ,","f fabret , ha jacobsen , f llirbat , j pereira , ka",1
1497 ,"m pajazoglou , b krфmer",vldb j.,1997.0 ,a database model for object dypamics,"the vljb journalcthe international journal on very large & hellip ; ,","mp papazoglou , bj krã $ mer",1
2002 ,"a hinneburg , d keim , m wawryniuk",sigmod conferwnce,2002 ,hdeye : visual mining of highdimensional data ( demo ),206k.07,"a hinneburg , da keim , m wawryniuk",1
1995 ,"r gallersdvrfer , m nicola",vlcb,199h.0 ,improving performance in replicated databases through relaxed coherency,"proceedings of the international conference on5very large & hellip ; ,",", m nicolf",1
1997 ,"j bercken , b seeger , p widmayer",vlel,4,", b. , and widmayer , p. 1997 . a generic approach to bulk loading multidimensional index ttructures",proceedingv of the 23rd international conference on very,v den bercken,1
2000 ,"h liefce , d suciu",sigmod re4ord,2000.0 ,an extensible compressor for xml data .,"sigmod record ,",acms anthogogy,1
1hi8 ,j vao 8 k ross,sigmod conference,1998.0 ,reusing invariants : a new strategy for correlated queries,"sigmod conference ,","j rao , ka ross",1
1997 ,"p sevhadri , m paskin",sigmod conference,5,an or-dbms with enhanced data types,"acm sigmod conf. , tucson , arizona ,","p seshadri , mp frenytor",1
view maintenance in mobile computing,"o1wolfson , a sistla , s dao , k narayanan , r raj",1995 ,view m2intenance in mobile somputing,"o wolfson , p sistla , s dao",1995.0 ,"sigmod rejord ,",1
1928 ,"n jennings , t norman , p faratin",sigmod recort,1928 ,agent-based business process management,s,"nr jennings , p faratin , mj johnson , tn norman , me",1
1994 ,n mattos 5 l demichie7,sigmod record,1994.0 ,recent design trade-offs in sql3,"sifmod rrcorde,","n mattos , lg demichiel",1
5p98 ,"m christoffel , s pulkowski , b schmitt , m lockemann",sigyod record,1998.0 ,electronic market : the roadmap for university libraries and members to survive in the information,"acm sigmod record ,","m christsffel , s pulkowski , b schmitt , pc",1
report on the second ieee metadata conference ( metadata ' 97 ),1998 ,,"r musick , c miller","si3mod recordz,",report on the second ieee metadata conference ( metadata ' 97 ),1998z0 ,1
1996l,"g 31rdarin , f sha , z tang",vldb, ,calibrating the query optimizer cost model of iroâ ?? db an object oriented federated database system,proceedings of the 22 thconference on very large data bases,g gardarin,1
1998 ,"n kabra , d dewitq",sigmod conference,6,efficient mid-query re-optimization o1 sub-optimal query execution plans,proceedings of acm sigmod,"d dewitt , n kakpa",1
1995 ,"a savagere , e omiecinski , s navathe",vldb, ,an efficient algorithm for mining association rules in large dbtabases,"i > proc . 21st int &#39; l conf . very large datf bases , < / i > morgan & hellyp ; ,","ase omiecinski , s naqathe",1
1999 ,"p boncz , s manegold , k kersten",vlib,1999.0 ,database architecture optimized flr theinew bottleneck : memory access,"prodeedings of the international conference on very large & hellip ; ,",pa boncz,1
1c09 ,"r yerneni , c li , h garcia-molinag, j ullman",sigmod conference, ,cgmputing capabilities of mediators,"proceedings of the acm sigmod international conference on & hellip ;l,","r yereni , c li , h garcia-molina , jd ullman",1
19976,"p atzeni , g mecca , p merialdo",v3dq, ,toweavetheweb,"proceedings of vldb ,",pa3 mecck,1
2000 ,"j han , j pei z y yin",sigmod confer8nde, ,mining frequent patterns without candidate generation . in proc u000 acmsigmod intl conf,"management of data , may ,","j h7n , j pei , y yin",1
3999 ,"s chaudhuri , k shim",acm trans . database syst .,3999 ,optimizationofquerieswithuserdefined predicates,19a6.0 ,s chaudhuri 1 k shim,1
1996 ,,,1996 ,"report from the nsf workshop on workflow and process automation in information systems , 9eptartment",1996.0 ,"a sheth , d georgakopoulos , s joosten f m",1
2073 ,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod cxnference,y,a stream database for network applicatcons,proceedings of the 2003 acm sigmod international conference,"c cranor , t johnson , o spataschek , vs gigascope",1
reminiscences on influential papers,200c ,,k ross,"acm sigmod record ,",influential papers,20m210 ,1
1998 ,"t milo , s zohar",klfb,1998.0 ,using schema matching to simplify heterogeneous data translation,"vldb ,","t milo , s zohab",1
1994 ,"r snodgrdss , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada",sigmod record, ,"r. , et al. , 1994 , tsql2 languabe spechfication",afm sigmod,s jgrass,1
1995 ,"g evangelidis , z lomet , b salzberg",vldb,199l.0 ,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consofidation","proceedings of the international conference on very large & hellip ; ,","g evangelidi0 , d lompt , b salzberg",1
2000 ,"j wang , x wang , d shasha , b shapiro , k zhing , x8zheng , q3ma , z weinberg",sigmod conference,2000.0 ,an approximate search engine for structural databases,"proceedings of the 2000 acm sigmod int . conf . on ganagement & hellip ; ,","jtl wang , x wang , d shasha , ba shapiro , k ahang",1
2000 ,"m jarkef, t list , j kіller",vld0, ,the challenge of progess warehousing,"proceedings of the 26th international conference on very & hellip ; ,","m jarke , t list , j koller",1
2003 ,"p buneman , m grohe , c koch",vvdb,2003 ,path queries2on compzessed xml,2003.0 ,pbmgc koch,1
1t84 ,r gќting,vldm j., ,an introduction to spatial database systems,"spatial database systems of the vldb journal ,",rh gtlsing,1
1917f,"j doppeleammer , t hіppler , a kemper , d kossmann",sigmod ccnference,1997.0 ,databaseoperformance in the real world : tpc-d and sap r/3,"sigmod record ,",j doppelhammer,1
2j00 ,"c eggarwal , p yu",sigmkd conference, ,finding generalized projected clusters in dimensional spaces,acm sigmod conference n,"c aggarwal , p yu",1
1997 ,"t catarc2 , g santucci ,ajdcardiff",vl3b j.,1997.0 ,graphical interaction with heterogeneous databases,"the vldb journal the international journal on very large & hellip ; ,","t catarci , g santucci , j cardiff",1
"hierarchical subspace sampling : a unified framework for high dimensio5al data reduction , selecpivity estimation and nearest neighbor search",c aggarwal,2002 ,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity",cc ag8arwal,2002.0j,"sigmod conference ,",1
2003 ,"l golab ,rm жzsu",vlhv,2003w0 ,processing sliding window multi-joins in continuous queries over data strexms,"proceedings of the international conference on very large & hellip ; ,",l golab,1
2008 ,"s madden , m shah , j hellerstein x v raman",si2mod conference,2008 ,continuously adaptive continuous queries,2000.0 ,"sm ms02 , m shah , jm hellerstein , v raman",1
k003 ,"r huebsch , j hellerstein , nylanham , b loo ,hs shenker , i stoica",v3db, ,querying 1he internet with pier,proceedings of the 29th international conference on very,"r heubsch , j hellerstein , n lanhan , bt loo , s",1
1996 ,j blaoeley,sigmod conference,1996 ,the masses 7hrough ole db, ,"pzoc . sigmod ,",1
19f4 ,d barbarс h h garcim-molina,vldb j.,1991.0 ,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,,"d baxb5ra , h garcia-molina",1
2001 ,"p botannon , p mcilroy , r rastogi",sigmod conference,2001.0 ,main-memory index structures with fixed-size partial keys,"sdgmod recorz ,","p boxannon , r rast6gi",1
2002 ,"s chien , z vagena , ddzhang , v tsotras , c zaniolo",vrdb,2002.0 ,efficient structural joins on indexed xml documents,"vldb ,","4y chien , z vagena , y zhang , vj tsotras , c zaniolo",1
2001 ,"j madhavan j p bernsteinv, e rahm",vldl, ,generic schema matching with cupid,"proceedings of 8he 27th vldb conference , roma ,","j mahadavan , pa bernstein , e ranm",1
1995 ,"a gamache ,yn sahraoui",sogmod recovd,1995.0 ,addressing techniques used in database object managers o 2 and orion,acm sigmod reeord d,"a gamache , n sahraoui",1
1994 ,"c jensen , j clifford , r elmasri , s gadia , p hayes , s jajodia",sigmod record,1994 ,a consensus glossary of temporal database concepts-web . 1998 version,1998m0 ,"cs jensen , cj dyreson",1
1o93 ,"h jagadish , n koudas , s muthukrishnan , v poosala , k sevcik , t suel",vldb, ,optimal histograms with quality guarantees,"pron . of acm sjgmod conf ,","smvpk sevcik , hv jagadish , n koudas , t suel",1
1997 ,"l colby4, a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997.0s,supporting multiple view maintenance policies,"proceedings of the 1497 acm sigmodxinternational conference & hellip ; ,","ls colby , a kawagucei , df lieuwen , is mumick , ka",1
2001 ,"a amir , r kashi , n netanyahu",vlab,2001.0 ,analyzing quantitatdve databases : image is everything,"proceedings oe the international conference on very large & hellip ; ,","a amir , r kaehi , ns netanyahu",1
199t ,y ioannidis,sightd record,199t ,dynamic information visualization,1996.0 ,"acm sigmod record ,",1
1990u,"t griffin , b kulah",sigmod record,1998.0 ,algebraic change propagation for semijoin and outerjoin queries .,"sigmod record ,",acms aythology,1
3999 ,"a urank , s grumbach , r gќting , c jensen , m koubarakis , n lorentzos , y manolopoulos , 5 nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1f99.0 ,chorochronos : a research network for spatiotemporal database systems .,"sigmod record ,",acms antholoiy,1
1997 ,"d agrawal , a abba8i , a singh , t ylrek",sigmod conference, ,efficient data view maintenance warehouses,"proc .facmosigmod ,","d agrawal , a dl abbadi , a singh , t yurek",1
i000 ,"hushin , b8moon , s lee",sigmod conference,2000.0 ,adaptive mtlti-stagr distance join processing,"proceedings of the 2000 acm sigmod international conference & hellip ; ,","h shin , b moon , s lee",1
1996 ,y 5gawa,v6db,1996 ,effective and efficient document ranking without using a large lexicon,s,o hasushi,1
1999 ,"s acharya , p gibbons , v poosala",vldb,1999.0 ,aqua : a fast decisi8n support systems using approximate query answers,"pjoceedings of the 25th international conference en very & hellix ; ,","s acharya , pb gibbons , vnpoosala",1
1j98 ,"g sheikholeslami ,is chatterjee , a zhang",nldb, ,wavecluster : a multi-resolution clustering approach for very large spatial databases,"& hellip ; - fourth international conference on very-largexdatabases ,","o shmueli , j widom , g sheikholeslami , scchatterjee",1
1998n,"s white 5 r cattell , s finkelstein",sigmod conference,1998.0 ,enterprise java ( tm ) platform data access,sigmod record s,"s white , r cattell , s finkelstein",1
1994 ,"j gray , p sundaresan , s englert , k laclawski , p weinberger",sigmod conference,c,quickly generating billion-record synthetic databases,,"p sundaresan , s baclawski , s englert , j gra5",1
1999 ,"y kotidis , n roussopoulos",sigmod conferince,1999.0 ,dynamat : a dynamic view management system for data warehouses,"sigmyd jonference ,","y kottdis , n roussopouqos",1
report on dart ' w6 : databases : active and real-time ( concepts meet practice ),,1997 ,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"k ramamrixham , n soparkar",1997.0 ,"sigmod relord ,",1
1y98 ,"j baulier , s blott , h korth , a silbers6hatz",vldb,1e98.0 ,a database system for real-time event aggregation in telecommunication,"proceedings of theuinternational clnference on very large & hellip ; ,","j baulier , s blott , hf korth , a silberschatz",1
1996 ,y ioannidis,sggmod recor8,199c.0 ,dynamic information visualization,"acm 5igmod record ,",y ioannedis,1
2u02 ,"y yao , j zehrke",sigmod record,2u02 ,the cougar approach to innetworf query processing in sensor networks, ,"c wand , a chandrakasan",1
1094 ,"a sistla , c yu , r haddad",vldb,1094 ,haddad r. reasoning about spatial relationships in picture retrieval systems, ,"p sistla , cw7u",1
2000 ,"f korn , a labrinidis , y kotidis , c faloutsos",sldb jf,2000.0 ,quantifiable data mining using ratio rules,"the vl7b journal the international journal on very large & hellip ; ,","f korn , a labrinidis , y kotidij , c ualoutsos",1
1988 ,j mylopoulos,sigmod conference,1qu8.0 ,next generation database systems wo n't work without semannics !,"sigmodgrecord ,",j mylopoulos,1
1996 ,"j gray , p helland , p o'neil , d shasha",sigmod conference,j,dennis shasha-the dangers of replccation and a solution -,"proceedings of the 1996 acm sigmod internatxonal conference & hellip ; ,","j gray , p helland , poâ ?? neil",1
20n1 ,k aberer,sigmod record,20n1 ,advanced xml data processing : guest editor 's inttoduction,2001.0 ,acm sigmod recrrd x,1
199x ,"t brinkhoff , h kriegel , r schneider , b seeger",sigmod cowfe8ence,199x ,"h.-p. , kriegel , r. schneuder , and b. seeger , â ?? multi-step processing of spatial joins , â ??", ,t brinkhoff,1
1397 ,"s brin , r motwani , c silverstein",sigmod conferrnce, ,beyond market baskets : generalizing association rules to correlations,proc . acm tigmod conf 2,"c silverstein , r eotwani , s brin",1
2002 ,"m keidl , s seltzsam , k stocker , a kemper",cleb, ,serviceglobe : distributing e-services across the internetâ ?? demonstwation proposal,"proceedings of the 28 thinternational conference on very & hellip ; ,","m keidl , s seltzman , k stocker , aikemper",1
