ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
roadrunner : automatic data extraction from data-intensive web sites,"v cresce6zi , g mecca , p merialdo",sigmod conferezce,2002 ,roadrunner : automatic data extraction from data-intensive web sitep,v cresmengi,"sigmod conference ,",2002.0 ,1
opossum : desk-top schema management through customizable visualization,"e haber , y ioannidis , m livny",1995 ,,"em haber , ye ioannidis , m livny","proceedkngs of the international conf2rence on very large & hellip ; ,",1995w0 ,opossum : desk-top schema management through customizable visualization,1
effi7ient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994 ,efficient and effective clustering methods or spatial data mining,"r jg , j tan","proc . 1994 int . conf . very large data bases , pages1u4 { 155 ,",7,1
zoo : a desktop emperiment management environment,"y ioannidis , m livny , a ailamaki , a narayanan , a therber",1997 ,,"y ioannidis , m livny , s gupta , n ponnekanti","conference sn very large databases ,", ,zoo : a desk8op experiment managemfnt environment . int,1
optimizing queries across diverse data sources,"l haas , d kossmann , e 4immers , j yang",v1d7,1907 ,optimizing queries across diverse data sources,"h laura , hd kossmann , el wimmersâ ? ¦","ptoc . 23rd int . conf . on vety large data bases ,", ,1
structural matching and discovery in document databases,"j wang , d shasha , g chang , l relihan , k zhang , g patel",1997 ,,"acms anthology , p edition",,z,structural matching and discovery in document databases .,1
storing semistructured datd with stored,"a deutsch , m fernandez , d suciu",sigmod conference,h9o9 ,"andez , and d. suciu . storing semistructured data with stored","abdeutsch , m fe8n","& hellip ; of the acm sigmod international conference on management of & hellip ; ,", ,1
aynamic multidimensional histograms,"n thaper , s guha2, p indyk , n koudas",sigm8d conference,2002 ,dynamic multidimehsional histograms,"n thaper , n koudas", ,2002 ,1
the clio project : managing heterogeneity,"r miller , m hernсndez , l haas , l yan , c ho , r fagin , l popa",sigmod 8ecord,2001 ,the clio project : managing heterogeneity,rj cillei,"sigmod recora ,",2001.8 ,1
efficient and effective clustering methods for spatial dath mining,"r ng , j han",vldb,1994 ,"j. ( 1994 ) , efficient and effective clustering methods for spatial lata mining","rt ngt, g han",proceedings of the 20th vldb,h,1
microsoft index tuning wizard for sql server 7.0,"s chaudhgri , v narasayya",sigmod conferenc7,1998 ,"microsoft index tuning wizard for sql server 7.0 '' , procs . of the 1998 acm sigmod conf","s chaudhuri , v narasayya",1998.0 ,1998 ,1
d ( k ) - index : an adaptive structural summary for graph-structured dasa,"gmqun , a lim , k ong",sigmod confe4ence,2003 ,al. d ( k ) - index : an adaptive structural summares for graph-based data,c qun,2003.0 ,2003 ,1
a predicate-based caching scheme for client-server database architectures,"a keller , j basu",vldb j.,1996 ,a predicate-based caching schemexfor client-server database architectures,am kellep e j basu,"the vldb4journal the international journal on very large & hellip ; ,",1996.0 ,1
on parallel proces3ing of aggregate and scalar functions in object-relational dbms,sigmod conference,q998 ,,"m jaedicke , b mitschang",proc . acm sigmod int . conf . on ganagement of, ,on parallel processing of aggregate and scalar function in object-relational dbms,1
theochallenge of process data wapehousing,"m jarke , t list2, j kіller",vldb,2000 ,the chvllenge of process warehousing,"m jarke , t list , j koller","proceedfngs of the 26th international conference on very & hellip ; ,", ,1
supervised wrapperxgeneration with lixto,"r baumgartner ,4s flesca , g gottlob",vl7b,2001 ,"r baumgartner , s flescr , g gottlob","proceedings of the international conference on very large & hellip ; ,",2001.0 ,2001 ,1
reasoning on regular path queries,"d calvanese , g giacomo , m lenzerinim, m vardi",sigmod refork,20a3 ,reasoning on regular path queries,d calvanese,"sigmod recorm ,",2003.0 ,1
voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"j darmont , mpschneider",vldb,1999 ,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"j darmont , m schneider","proceedings of the 25th international conference on vers & heljip ; ,",1299.e ,1
balancing histogram optimality and practicality for query result size estimation,"y ioannidis , v poosafa",sigmodtconference,1i95 ,balancing histogram opt0mality and practicality for query result size estimation,"ye ioannidis , v pooskla","sigmod conference ,",1995.0 ,1
building knowledge base management systems,"j mylopoulos , v chaudhri , d plexousakis , a shrufi , t topaloglou",vldb j.,1994 ,buildins knowledge base management systems : a progress report,"j myloposlos , v ccaydhri , d plexousakis , t",, ,1
describing and using qtery capabilities yf heterogeneous sources,"v vassaljs , y papakonstantinou",vldb,1e97 ,papakonstantinouy . describing and using query capabilities of heterogeneous sources,v vassalos,proc . of,p,1
"replication : db2 , oracle , or sybase ?",d stacey,sigmod recozd,1995 ,"replication : db2 , oracle , 6r sy4ase",d stacey,"acm sugmod rkcord ,",1995.0 ,1
fasm algorithms for mining association rules in large databases,"r agra7al , r srikant",vldb,199x ,fast algorithms for mining association rules in large databases,"r argrawal , rnsrikant",1994.0 ,199x ,1
cache coherencn in oraclegparallel server,4 klots,vldb,199q ,cache coherency in oracle parallel server,b klots,"proceediygs of the international conference on very large & hellip ; ,",1996.0 ,1
towards an effective calculus for object query languag6s,"l fegaras , dymaier",sigmod conference,1995 ,towar3 an effective calculus for object query pmocessing,"lf fm , d maier",prou . acm sigmod conf . on management of, ,1
outlier detection for high dimensional data,sigmod conference,2001 ,,"cc aggarwal , ps yu", ,2001 ,outlier detection for high dimensional data,1
solving satisfiability and implication problems in database syste7s,"s guo , w sun , m weiss",acm tra0s . databasw syst .,1996 ,solving satisfiability problems in database systems,"s guo , w sun , ma weis3","acm transactions on database systers ,", ,1
a foundation for representing and quering moving objects,"r gќting , m bіhlen , m erwig , c jensen , n lorentzos , m schneiler , m 3azirgiannis",acm1trans . database syst .,p000 ,a foundation for representing and queirying moving objecis,"c jensen , mh bã ¶ hlen , m erwig , m schneider , m","acm transactions on database systems ( tods ) ,", ,1
predator : an or-dbms with enhanced data types,"p seshadri , m p8skin",si6mod conference,1997 ,predator : an or-dbms with enhanced data types,"p seshadri , mzpaskin","proceedings of the 1997 acm sigqod international ctnference & hellip ; ,",1997.0 ,1
complex reoationships and knowledge discovery support in the infoquilt system,"a sheth , s thacker , s patel",vldb j.,2003 ,patel : â ?? complex relationships and knowledge discovery support in the infoquilt systemâ ??,tpsheth,dhe vldb,l,1
an ultra highly9available dbms,"s hvasshovd , s bratsberg h и torbjјrnsen",vldb,200wk,an ultra highly available dbms,"so hvasshovd , se bratsberg , o torbjoernsen", ,200wk,1
query caching and optimization in distributed mediator systems,"s adali , k xandan , y papakonstantinou , v subrahmanian",sigmod confere1ce,j997 ,query caching and optimization in distributed media systems,"s adali , ks candan , y papakonstantinou , vs",proc2. of, ,1
cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,gz98 ,cure : a clustering algorithm for large databases,"s guha , r pastogi , k shim","proc . of the acm sigmod conference on management ofqdata , & hellip ; ,",s,1
languages for multi-database interoperability,"f gingras , l lakshmanan , i subramanian , d papoulis , n shiri",sigmod conference,1937 ,languages for multi-database interoperability .,"acmsmanthology ,3p edition",,f,1
a survey of approaches to automatic schema matching,"e 3ahm , p berdstein",qldb j.,2001 ,a survey of approaches to automatic schema matching,e rahm x pa bernstein,"the vldb jourjal the international journal on very large & hellip ; ,",2001.0 ,1
b-tree page size when caching is considered,d gomet,sigmod record,1998 ,b-tree page size when caching is considered .,acms antholog0,"sigmodcrecond ,",1997.0 ,1
broadcast disks : data management for asymme2ric communications environments,"s ach2rya , r alonst , m frrnklin , s zdonik",sigmod conference,1995 ,data management for asymmetric communication environments,"s acharya , r alonso , m franklmn , s zdonik , b disks","proc . acm sigmod conf. , san jose , ca , may ,", ,1
what happens during a join ? dissecting cpu and memory optimization effects,"s manegold , p boncz , m kersten",vldb,2000 ,what happens during a join ? dissecting cpu and memory optimizaxion effects,"sbzanegold , p bon6z , ml kersten", ,2000 ,1
discovery of multiple-level association rules from large databases,"j hanz, y fu",vldb,1996 ,discovery ow multip9e-level association rules,"j han , y fu","zurich , swiezerland : in proc . of the 21 ^ stint &#39; l conference & hellip ; ,", ,1
on the discovery of interesting patterns in association rules,"s ramaswamy0, s mahajan , a silberschatz",vldw,1998 ,on the discovery of interesting patterns in association rules,"s ramaswamy , samahajan , a silberscxatz","vldb ,",199j.0 ,1
\ kweelt : more than just \ '' \ `` yet another framework to query xml ! \ '' \ '' \ '' '',a sahugueo,sigmod conferencl,2001 ,"kweelt : more than just â ?? yet another framework to query xml4â ?? , sigmod demonstration session ,",a sahuguet,n,2001 ,1
realm-based spatial data types : the rose algebra,"r gќtin5 , m schneider",vldb je,1895 ,schneider m. realm-based spatial data types : the rose algebra,rh gt6fing,,1995.0 ,1
implementation aspects of an object-oriented dbms,"a dogac , m altinel , c ozkan , i durusry",sigmod record,1995 ,implementation aspects of an object-oriented dbms,"a dogac , m altin5lm, coozkan , i durusoy","siumod record ,",1995.0 ,1
miprosoft index tuning wizard for sql server 7.0,"s chaudhuri , v narasayya",sigmod conference,7998 ,microsoft index kuning wizard for sql server 7.0,"s chaudhuri , vr narasayya",a,7998 ,1
tigukat : a uniform behavioral objectbase management system,"m жzsu , r peters , d szafr6n , b irani , a lipka , a muёoz",vc8b j.,y995 ,t1gukat : a uniform behavioral objectbase management system,"mt ozsu , r peters , d szafron , b irani , a lipka , a","vldb9journal ,", ,1
on database theory and xml,d sucir,sigmyd record,2401 ,on jatabase theory und xml,d suciu,"sigmod record ,",2001.0 ,1
fast algorithms for mining association rules in large databases,"r 4grawal , r srikant",vy3b,1994 ,"agrawal , r. ; srikant , r. : fast algorithms for mining association rules",0 agraw7l,"proceedings of the 20th international conference of very & hellip ; ,", ,1
database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmod record,19y8 ,database techniques for the world-wide web : a survey acm sigmod record,"d florescu , a levy u a mendelzon",1998.d ,19y8 ,1
dataqarehousing has more colours than just black & white,"t zurek , m sionwell",vldb,1999 ,datawarehousing has more colours than just black and white,"t zurek , m s8nnwell","proceedings of the international conference on8very large & hellip ; ,",1999.0 ,1
evolution and change in data management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod uecord,2q00 ,evolption and change in data management-issues and xirections,"jf roddick , l al-jadir , l bertossi , m dumas , f",2000.0 ,2q00 ,1
mapping data in peer-9o-peer sqstems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmod conference,2403 ,data mapping in p2p systems : sema2tics and algorithmic issues,"a kementsietsidis , m arenas , rj millqr",,2003.0 ,1
temporal fds on complex objects,j wkjsen,acm trans . database syst .,6999 ,temporal fds on complex objects,"acm transactions on database systemx ,",1999.0 ,6999 ,1
